gene_id,gene_symbol,gene_description
834403,AGO10,Stabilizer of iron transporter SufD / Polynucleotidyl transferase
170699,Atp2c1,ATPase secretory pathway Ca2+ transporting 1
827837,TUB9,tubulin beta-9 chain
818795,AT2G41950,DNA-directed RNA polymerase subunit beta
42791,SPE,Spatzle-Processing Enzyme
829662,PIP3,plasma membrane intrinsic protein 3
834925,AGL80,AGAMOUS-like 80
29234,Galr2,galanin receptor 2
723853,Mir365-2,microRNA 365-2
70310,Plscr3,phospholipid scramblase 3
829439,ZIP9,ZIP metal ion transporter family
2539406,phf1,PHD finger domain-containing protein Phf1
137970,UNC5D,unc-5 netrin receptor D
825068,IPMI1,isopropylmalate isomerase 1
8629504,exoc6,exocyst complex subunit 6
191014,daf-28,Uncharacterized protein
67896,Ccdc80,coiled-coil domain containing 80
5719,PSMD13,"proteasome 26S subunit, non-ATPase 13"
93721,Cpn1,"carboxypeptidase N, polypeptide 1"
2540729,arg4,putative arginine specific carbamoyl-phosphate synthase Arg4
9648,GCC2,GRIP and coiled-coil domain containing 2
820364,UBP13,ubiquitin-specific protease 13
14007,Celf2,"CUGBP, Elav-like family member 2"
851965,ESC2,Esc2p
175698,tbx-2,T-box protein 2
19719,Rfng,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
29360,Selenop,selenoprotein P
393117,yju2,YJU2 splicing factor homolog
341947,COX8C,cytochrome c oxidase subunit 8C
257,ALX3,ALX homeobox 3
103889,Hoxb2,homeobox B2
180452,dgk-1,Diacylglycerol kinase
811177,PF3D7_1212500,glycerol-3-phosphate 1-O-acyltransferase
837919,LAG13,LAG1 longevity assurance-like protein
30459,exorh,extra-ocular rhodopsin
25360,Tshr,thyroid stimulating hormone receptor
40164,Deaf1,Deformed epidermal autoregulatory factor-1
2539408,mhf2,FANCM-MHF complex subunit Mhf2
852975,MRP13,mitochondrial 37S ribosomal protein YmS-A
945063,yajQ,nucleotide binding protein YajQ
174475,wdfy-2,WD repeat and FYVE domain-containing protein 2
19264,Ptprc,"protein tyrosine phosphatase, receptor type, C"
321938,cyth1a,cytohesin 1a
404039,npsn,nephrosin
835727,CSN6A,COP9 signalosome subunit 6A
948603,alsR,DNA-binding transcriptional repressor AlsR
839752,VOZ1,vascular plant one zinc finger protein
57305,Uts2r,urotensin 2 receptor
851891,SUR2,sphingosine hydroxylase
66174,Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14
837163,GPAT1,glycerol-3-phosphate acyltransferase 1
817705,DOR,F-box and associated interaction domains-containing protein
324309,fstl1b,follistatin-like 1b
832447,AT5G23820,MD-2-related lipid recognition domain-containing protein
373905,BASP1,brain abundant membrane attached signal protein 1
14561,Gdf11,growth differentiation factor 11
851271,BUD14,protein phosphatase regulator BUD14
798710,zbtb4,zinc finger and BTB domain containing 4
41448,GC1,Glutamate Carrier 1
233912,Armc5,armadillo repeat containing 5
818641,LBD15,LOB domain-containing protein 15
8621710,rckA,RGS domain-containing protein
44544,Hnf4,Hepatocyte nuclear factor 4
353256,Gtf2i,general transcription factor II I
820304,AT3G11320,Nucleotide-sugar transporter family protein
110351,Rap1gap,Rap1 GTPase-activating protein
393893,nudc,nudC nuclear distribution protein
851212,CCR4,CCR4-NOT core exoribonuclease subunit CCR4
84473,Ddx20,DEAD-box helicase 20
557688,rpgrip1l,RPGRIP1 like
291848,Mmp15,matrix metallopeptidase 15
828129,RGXT1,rhamnogalacturonan xylosyltransferase 1
818902,NAC042,NAC domain containing protein 42
107693,Hfm,hemifacial microsomia-associated locus
2873459,AN4041.2,hypothetical protein
298017,Actl7a,actin-like 7a
34991,Trpgamma,Transient receptor potential cation channel gamma
181124,unc-27,Troponin I 2
100033463,mir430c-8,microRNA 430c-8
19835250,lncRNA:CR44371,long non-coding RNA:CR44371
820123,MCM8,minichromosome maintenance 8
83701,Srrt,serrate RNA effector molecule homolog (Arabidopsis)
19329,Rab17,"RAB17, member RAS oncogene family"
100526483,Mir669a-5,microRNA 669a-5
180732,flp-12,FMRF-Like Peptide
817366,AT2G28200,C2H2-type zinc finger family protein
855785,MSO1,Mso1p
29156,Capns1,"calpain, small subunit 1"
816737,RKP,related to KPC1
302642,Sat1,spermidine/spermine N1-acetyl transferase 1
56752,Aldh9a1,"aldehyde dehydrogenase 9, subfamily A1"
840894,AT1G42960,inner membrane localized protein
140726,Cacng5,calcium voltage-gated channel auxiliary subunit gamma 5
2987,GUK1,guanylate kinase 1
288333,Gbe1,"1,4-alpha-glucan branching enzyme 1"
819602,PEX12,peroxin-12
239099,Homez,homeodomain leucine zipper-encoding gene
691447,Ppp1r3e,"protein phosphatase 1, regulatory subunit 3E"
84020,Kcnq1,potassium voltage-gated channel subfamily Q member 1
30262,ins,preproinsulin
79085,SLC25A23,solute carrier family 25 member 23
17933,Myt1l,myelin transcription factor 1-like
43475,FipoQ,F-box involved in polyQ pathogenesis
838352,PGDH,D-3-phosphoglycerate dehydrogenase
36283,otk,off-track
946068,ydeI,BOF family protein YdeI
842846,AGL23,AGAMOUS-like 23
69583,Tnfsf13,"tumor necrosis factor (ligand) superfamily, member 13"
84468,Chst3,carbohydrate sulfotransferase 3
5013,OTX1,orthodenticle homeobox 1
10423,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
683,BST1,bone marrow stromal cell antigen 1
835527,HL,HAL2-like protein
828650,ABCB28,non-intrinsic ABC protein 8
55337,SHFL,shiftless antiviral inhibitor of ribosomal frameshifting
378845,tjp1a,tight junction protein 1a
8243,SMC1A,structural maintenance of chromosomes 1A
40657,Snr1,Snf5-related 1
948900,tolQ,Tol-Pal system protein TolQ
29349,Fgf8,fibroblast growth factor 8
19054,Ppp2r3d,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta"
38594,Gen,XPG-like endonuclease
27063,ANKRD1,ankyrin repeat domain 1
10370,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
117261,Slc15a1,solute carrier family 15 member 1
41132,GstZ1,Glutathione S transferase Z1
3771422,MIR166f,miscRNA
546644,Ly6g,"lymphocyte antigen 6 complex, locus G"
180468,snx-1,PX domain-containing protein
131544,CRYBG3,crystallin beta-gamma domain containing 3
33952,nrv1,nervana 1
38173,hfp,half pint
839389,RALF1,rapid alkalinization factor 1
24887,Bax,"BCL2 associated X, apoptosis regulator"
33245,ds,dachsous
56428,Mtch2,mitochondrial carrier 2
829330,ASP5,aspartate aminotransferase 5
841978,GCT,RNA polymerase II transcription mediator
487,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
8625061,splB,"protein kinase, TKL group"
60412,EXOC4,exocyst complex component 4
826093,YY1,zinc finger (C2H2 type) family protein
363071,Stra6,signaling receptor and transporter of retinol STRA6
15227,Foxf1,forkhead box F1
948632,basS,sensor histidine kinase BasS
852480,SMP1,Smp1p
245944,Vps54,VPS54 GARP complex subunit
852978,PDC6,indolepyruvate decarboxylase 6
853007,CLD1,carboxylic ester hydrolase
19276,Ptprn2,"protein tyrosine phosphatase, receptor type, N polypeptide 2"
73708,Dppa3,developmental pluripotency-associated 3
852194,CDC27,anaphase promoting complex subunit CDC27
114652,Ly6g5c,"lymphocyte antigen 6 complex, locus G5C"
835058,AT5G49945,hypothetical protein (DUF1682)
109331,Rnf20,ring finger protein 20
2540464,SPBC23E6.02,putative ATP-dependent DNA helicase
195824,atp6ap1b,ATPase H+ transporting accessory protein 1b
6853,SYN1,synapsin I
4327,MMP19,matrix metallopeptidase 19
269608,Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5"
81000,Rad54l2,RAD54 like 2 (S. cerevisiae)
854832,RPR2,ribonuclease P protein subunit RPR2
834680,KCO2,Ca2+ activated outward rectifying K+ channel 2
73569,Vgll3,vestigial like family member 3
77622,Apex2,apurinic/apyrimidinic endonuclease 2
823893,PHS1,cytidine/deoxycytidylate deaminase family protein
945563,ycbX,6-N-hydroxylaminopurine resistance protein
282672,fbp1b,"fructose-1,6-bisphosphatase 1b"
853369,NET1,Net1p
245880,Wasf3,"WASP family, member 3"
176770,cua-1,P-type Cu(+) transporter
556414,wdr19,WD repeat domain 19
14211,Smc2,structural maintenance of chromosomes 2
830953,CBSX3,Cystathionine beta-synthase (CBS) family protein
117460,TotX,Turandot X
405878,fbxl15,F-box and leucine-rich repeat protein 15
854737,SPO22,Spo22p
3326,HSP90AB1,heat shock protein 90 alpha family class B member 1
830558,WCRKC1,WCRKC thioredoxin 1
42683,CCAP,Crustacean cardioactive peptide
25331,Mat1a,methionine adenosyltransferase 1A
3565745,shc-1,SHC-transforming protein homolog 1
559103,inpp5d,inositol polyphosphate-5-phosphatase D
23481,PES1,pescadillo ribosomal biogenesis factor 1
735291,hspa12b,heat shock protein 12B
10959,TMED2,transmembrane p24 trafficking protein 2
723959,Mir1a-2,microRNA 1a-2
69269,Scnm1,sodium channel modifier 1
209558,Enpp3,ectonucleotide pyrophosphatase/phosphodiesterase 3
214523,Tmprss4,"transmembrane protease, serine 4"
174473,cam-1,Tyrosine-protein kinase receptor cam-1
829652,APX3,ascorbate peroxidase 3
362361,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1
837342,AT1G08210,Eukaryotic aspartyl protease family protein
796404,plekhg5b,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5b"
7511,XPNPEP1,X-prolyl aminopeptidase 1
213575,Dync2li1,dynein cytoplasmic 2 light intermediate chain 1
818183,CASP1,Uncharacterized protein family (UPF0497)
944837,yadC,fimbrial tip-adhesin YadC
190954,ssl-1,Helicase ssl-1
361845,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2
831925,AT5G18040,target of trans acting-siR480/255 protein
1642,DDB1,damage specific DNA binding protein 1
10333,TLR6,toll like receptor 6
834974,GEX2,gamete expressed 2
32153,Upf1,Upf1 RNA helicase
947596,ygjK,glycoside hydrolase
2543058,dss1,mRNA export protein Dss1
4193,MDM2,MDM2 proto-oncogene
64121,RRAGC,Ras related GTP binding C
10178876,lncRNA:yar,yellow-achaete intergenic RNA
230484,Usp1,ubiquitin specific peptidase 1
11235,PDCD10,programmed cell death 10
255488,RNF144B,ring finger protein 144B
18183,Nrg3,neuregulin 3
35785,coil,coilin
30283,wnt11,"wingless-type MMTV integration site family, member 11"
3835,KIF22,kinesin family member 22
838243,HCF173,high chlorophyll fluorescence phenotype 173
6843,VAMP1,vesicle associated membrane protein 1
175738,szy-2,Suppressor of ZYg-1
826934,CLE44,CLAVATA3/ESR-RELATED 44
100137125,zgc:175135,zgc:175135
13382,Dld,dihydrolipoamide dehydrogenase
83624,Ppig,peptidylprolyl isomerase G
396952,RPL36AL,ribosomal protein L36a like
47998,rin,rasputin
2543402,tup12,transcriptional corepressor Tup12
415148,sae1,SUMO1 activating enzyme subunit 1
557239,antxr2a,ANTXR cell adhesion molecule 2a
100002155,rasa1a,RAS p21 protein activator (GTPase activating protein) 1a
820077,PTAC13,plastid transcriptionally active 13
396185,CEBPB,CCAAT/enhancer binding protein beta
39315,Pldn,Pallidin
324188,cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1"
5326,PLAGL2,PLAG1 like zinc finger 2
839495,IAA12,AUX/IAA transcriptional regulator family protein
382117,Tcaim,"T cell activation inhibitor, mitochondrial"
821313,UGP1,UDP-GLUCOSE PYROPHOSPHORYLASE 1
115426,UHRF2,ubiquitin like with PHD and ring finger domains 2
832204,AT5G20810,SAUR-like auxin-responsive protein family
492362,klhl12,kelch-like family member 12
2539480,tti1,Tel Two Interacting protein 1
833891,AT5G38990,Malectin/receptor-like protein kinase family protein
947387,thiL,thiamine monophosphate kinase
235345,Hoatz,HOATZ cilia and flagella associated protein
827413,UGLYAH,ureidoglycine aminohydrolase
239420,Csmd3,CUB and Sushi multiple domains 3
946190,menI,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
2870321,AN6563.2,hypothetical protein
5657299,lphA,larval photokinesis A
947149,nrdF,ribonucleoside-diphosphate reductase 2 subunit beta
11498,Adam4,a disintegrin and metallopeptidase domain 4
64517,Thop1,thimet oligopeptidase 1
556002,nek1,NIMA-related kinase 1
832418,CXE18,carboxyesterase 18
64862,Map1lc3b,microtubule-associated protein 1 light chain 3 beta
2737,GLI3,GLI family zinc finger 3
5591,PRKDC,"protein kinase, DNA-activated, catalytic subunit"
51795,Srpx,sushi-repeat-containing protein
38072,Kah,Kahuli
2538955,bdf1,Swr1 complex bromodomain subunit Brf1
827350,RGF6,root meristem growth factor
821849,TSO1,Tesmin/TSO1-like CXC domain-containing protein
55857,KIZ,kizuna centrosomal protein
3636,INPPL1,inositol polyphosphate phosphatase like 1
832312,INV-E,alkaline/neutral invertase
839354,PCS2,phytochelatin synthase 2
3885922,PF3D7_0610600,calcium-dependent protein kinase 2
64960,MRPS15,mitochondrial ribosomal protein S15
816923,AT2G23910,NAD(P)-binding Rossmann-fold superfamily protein
837243,RPL4,ribosomal protein L4
838780,FBP7,F-box protein 7
20589,Ighmbp2,immunoglobulin mu binding protein 2
54137,Acrbp,proacrosin binding protein
23405,DICER1,"dicer 1, ribonuclease III"
55355,HJURP,Holliday junction recognition protein
56508,Rapgef4,Rap guanine nucleotide exchange factor (GEF) 4
850903,ENT2,epsin
67909,Galntl5,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5
382985,Rrm2b,ribonucleotide reductase M2 B (TP53 inducible)
16145,Igtp,interferon gamma induced GTPase
180148,skr-5,Skp1-related protein
228359,Arhgap1,Rho GTPase activating protein 1
9361,LONP1,"lon peptidase 1, mitochondrial"
1482,NKX2-5,NK2 homeobox 5
84520,GON7,GON7 subunit of KEOPS complex
116555,Nup107,nucleoporin 107
16413,Itgb1bp1,integrin beta 1 binding protein 1
838109,PDF1A,peptide deformylase 1A
16443,Itsn1,intersectin 1 (SH3 domain protein 1A)
946886,ptsH,phosphocarrier protein HPr
566714,tcnba,transcobalamin beta a
827337,AT4G16430,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
41059,IscU,Iron-sulfur cluster assembly enzyme
207777,Tspoap1,TSPO associated protein 1
114024,Acsl3,acyl-CoA synthetase long-chain family member 3
89781,HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
158,ADSL,adenylosuccinate lyase
251620,acd(2)5N17,auditory courtship defective 5N17
832987,AT5G28750,Bacterial sec-independent translocation protein mttA/Hcf106
282836,Cthrc1,collagen triple helix repeat containing 1
445543,JUP,junction plakoglobin
1814,DRD3,dopamine receptor D3
572199,ngs,notochord granular surface
5169,ENPP3,ectonucleotide pyrophosphatase/phosphodiesterase 3
843788,AT1G74470,Pyridine nucleotide-disulfide oxidoreductase family protein
48532,PpY-55A,Protein phosphatase Y at 55A
4921,DDR2,discoidin domain receptor tyrosine kinase 2
55929,DMAP1,DNA methyltransferase 1 associated protein 1
855925,CBC2,nuclear cap-binding protein subunit CBC2
19651,Rbl2,RB transcriptional corepressor like 2
51057,WDPCP,WD repeat containing planar cell polarity effector
3284,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
851239,BDH1,"(R,R)-butanediol dehydrogenase"
828690,GPP1,glycerol-3-phosphatase 1
68588,Cthrc1,collagen triple helix repeat containing 1
80235,PIGZ,phosphatidylinositol glycan anchor biosynthesis class Z
565702,cnnm2b,cyclin and CBS domain divalent metal cation transport mediator 2b
238386,Btbd7,BTB (POZ) domain containing 7
76566,Rflnb,refilin B
843998,CML38,calmodulin-like 38
3853,KRT6A,keratin 6A
3833,KIFC1,kinesin family member C1
445405,sars1,seryl-tRNA synthetase 1
81656,Dpyd,dihydropyrimidine dehydrogenase
32152,wisp,wispy
9231,DLG5,discs large MAGUK scaffold protein 5
856523,EPT1,bifunctional diacylglycerol cholinephosphotransferase/ethanolaminephosphotransferase
810599,PF3D7_1101300,rifin
2539499,hta1,histone H2A alpha
5657215,usdy,unsteady
29105,CFAP20,cilia and flagella associated protein 20
946610,gatB,galactitol-specific PTS enzyme IIB component
819924,PUB9,plant U-box 9
100006361,gal,galanin/GMAP prepropeptide
15574,Hus1,HUS1 checkpoint clamp component
2540865,usp102,U1 snRNP-associated protein Usp102
31874,ric8a,ric8a
180302,gly-4,Glyco_trans_2-like domain-containing protein;Polypeptide N-acetylgalactosaminyltransferase 4
321793,ak2,adenylate kinase 2
174144,unc-104,Kinesin-like protein unc-104
841840,AT1G54020,GDSL-like Lipase/Acylhydrolase superfamily protein
290359,Npm2,nucleophosmin/nucleoplasmin 2
83783,Sult1a1,sulfotransferase family 1A member 1
43916,Rok,Rho kinase
79072,FASTKD3,FAST kinase domains 3
93587,TRMT10A,tRNA methyltransferase 10A
180449,vps-45,uncharacterized protein
181110,utx-1,uncharacterized protein
853178,BUD32,serine/threonine protein kinase BUD32
140801,RPL10L,ribosomal protein L10 like
170942,Erdr1,erythroid differentiation regulator 1
75410,Kmt2b,lysine (K)-specific methyltransferase 2B
177,AGER,advanced glycosylation end-product specific receptor
948761,treB,trehalose-specific PTS enzyme IIBC component
9622,KLK4,kallikrein related peptidase 4
59343,SENP2,SUMO specific peptidase 2
33148,fog,folded gastrulation
28248,Slco1a1,"solute carrier organic anion transporter family, member 1a1"
829027,emb2726,elongation factor Ts family protein
946884,sbmA,peptide antibiotic/peptide nucleic acid transporter
404280,Mid1ip1,MID1 interacting protein 1
38500,Ero1L,Endoplasmic reticulum oxidoreductin-1-like
282307,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
34791,b,black
252931,Cyp3a18,"cytochrome P450, family 3, subfamily a, polypeptide 18"
53624,Cldn7,claudin 7
188142,pzf-1,Paired Zinc Finger protein
54033,RBM11,RNA binding motif protein 11
378460,Pram1,PML-RAR alpha-regulated adaptor molecule 1
4868,NPHS1,"NPHS1 adhesion molecule, nephrin"
820727,ROS4,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
827208,BIA1,HXXXD-type acyl-transferase family protein
569277,kdm6a,lysine (K)-specific demethylase 6A
19775,Xpr1,xenotropic and polytropic retrovirus receptor 1
384309,Trim56,tripartite motif-containing 56
842450,MLO6,Seven transmembrane MLO family protein
947245,mazE,antitoxin of the MazF-MazE toxin-antitoxin system MazE
176077,upp-1,Uridine and thymidine phosphorylase
177940,egl-21,Carboxypeptidase E
1379,CR1L,complement C3b/C4b receptor 1 like
228355,Madd,MAP-kinase activating death domain
7401,CLRN1,clarin 1
855518,SPS19,"2,4-dienoyl-CoA reductase (NADPH)"
85004,RERG,RAS like estrogen regulated growth inhibitor
364420,Tnfrsf10b,TNF receptor superfamily member 10b
855096,SDD2,Sdd2p
820626,AT3G14100,RNA-binding (RRM/RBD/RNP motifs) family protein
827226,PPDK,pyruvate orthophosphate dikinase
10723040,AT4G22305,alpha/beta-Hydrolases superfamily protein
64864,RFX7,regulatory factor X7
23630,KCNE5,potassium voltage-gated channel subfamily E regulatory subunit 5
852957,GID10,Gid10p
181274,plc-1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1;PhosphoLipase C;Phosphoinositide phospholipase C"
25083,Adra2a,adrenoceptor alpha 2A
854266,KTR1,"alpha-1,2-mannosyltransferase KTR1"
843903,LQY1,DnaJ/Hsp40 cysteine-rich domain superfamily protein
574514,MIR509-1,microRNA 509-1
40451,RpLP0,Ribosomal protein LP0
177539,cla-1,Protein clarinet
2589,GALNT1,polypeptide N-acetylgalactosaminyltransferase 1
268882,Fbxo45,F-box protein 45
827273,DI21,drought-induced 21
58146,hey2,hes-related family bHLH transcription factor with YRPW motif 2
284106,CISD3,CDGSH iron sulfur domain 3
824642,ARP1,RNA-binding (RRM/RBD/RNP motifs) family protein
14913,Guca1a,guanylate cyclase activator 1a (retina)
13136,Cd55,"CD55 molecule, decay accelerating factor for complement"
54710,Hs3st3b1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
255220,TXNDC8,thioredoxin domain containing 8
20878,Aurka,aurora kinase A
8624064,abcA10,ABC transporter A family protein
102636218,Gm15290,predicted gene 15290
816381,PNP-A,plant natriuretic peptide A
55288,RHOT1,ras homolog family member T1
852818,PYC1,pyruvate carboxylase 1
228852,Ppp1r16b,"protein phosphatase 1, regulatory subunit 16B"
43926,fan,farinelli
948879,lgoT,galactonate:H(+) symporter
6241388,MIR778,ncRNA
24338,Ephb1,Eph receptor B1
851087,ELO3,fatty acid elongase ELO3
22084,Tsc2,TSC complex subunit 2
20148,Dhrs3,dehydrogenase/reductase (SDR family) member 3
361467,Lpcat1,lysophosphatidylcholine acyltransferase 1
2542181,SPAC29E6.05c,putative peptide methionine sulfoxide reductase
100003572,tnnt3b,"troponin T type 3b (skeletal, fast)"
833957,NAC6,NAC domain containing protein 6
76925,Spata46,spermatogenesis associated 46
34812,Vajk3,Vajk3
33774,Vps52,Vacuolar protein sorting 52
836385,ELF5,proline-rich family protein
853507,CYC1,cytochrome c isoform 1
114643,Oas1c,2'-5' oligoadenylate synthetase 1C
393890,panx1a,pannexin 1a
361,AQP4,aquaporin 4
29677,Psmc3,"proteasome 26S subunit, ATPase 3"
2542400,ssr1,SWI/SNF and RSC complex subunit Ssr1
172515,prg-1,Piwi-like protein
947143,trmA,tRNA m(5)U54 methyltransferase
31785,Cp7Fb,Chorion protein b at 7F
404185,IGFBP5,insulin like growth factor binding protein 5
8622514,rab8A,Rab GTPase
8624635,cudA,hypothetical protein
381678,Zcwpw1,"zinc finger, CW type with PWWP domain 1"
216154,Med16,mediator complex subunit 16
92667,MGME1,mitochondrial genome maintenance exonuclease 1
817207,SPX2,SPX domain-containing protein 2 (SPX2)
830625,AT5G07340,Calreticulin family protein
320706,Soga1,"suppressor of glucose, autophagy associated 1"
3361266,erg32,C-5 sterol desaturase Erg32
29540,Hsd17b7,hydroxysteroid (17-beta) dehydrogenase 7
55870,ASH1L,ASH1 like histone lysine methyltransferase
557044,eys,eyes shut homolog
851208,MAK16,ribosome biosynthesis protein MAK16
2654974,PF3D7_0702400,small exported membrane protein 1
948300,rffG,"dTDP-glucose 4,6-dehydratase 2"
182780,glb-6,Globin-like protein 6
99571,Fgg,fibrinogen gamma chain
36251,Buffy,buffy
3565260,ccep-290,uncharacterized protein
7354433,DIP-epsilon,Dpr-interacting protein epsilon
947293,amiC,N-acetylmuramoyl-L-alanine amidase C
19893562,srRNA,mitochondrial small ribosomal RNA
32510,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
946549,hisG,ATP phosphoribosyltransferase
22818,COPZ1,COPI coat complex subunit zeta 1
24973,RT1-A1,"RT1 class Ia, locus A1"
195819,rpl36a,ribosomal protein L36A
8480,RAE1,ribonucleic acid export 1
836321,ARF2,auxin response factor 2
281276,LDLR,low density lipoprotein receptor
812702,PF3D7_0211400,beta-ketoacyl-ACP synthase III
25416,Dpysl2,dihydropyrimidinase-like 2
114502,Pax3,paired box 3
100005813,sbno1,strawberry notch homolog 1 (Drosophila)
8294,H4C9,H4 clustered histone 9
39226,Aps,Aps
10845,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X
100049545,Mir741,microRNA 741
843225,AT1G68920,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
245958,Atp5f1e,ATP synthase F1 subunit epsilon
3772574,Fuca,alpha-L-fucosidase
31490,AdamTS-B,ADAM metallopeptidase with thrombospondin type 1 motif B
29097,CNIH4,cornichon family AMPA receptor auxiliary protein 4
814024,PF3D7_1308300,40S ribosomal protein S27
2542029,rad24,14-3-3 protein Rad24
237847,Rtn4rl1,reticulon 4 receptor-like 1
29167,Dctn1,dynactin subunit 1
842923,AT1G66090,Disease resistance protein (TIR-NBS class)
34480,Dpy-30L1,Dpy-30-like 1
81716,Ggcx,gamma-glutamyl carboxylase
19835285,asRNA:TS15,antisense RNA:testis-specific 15
851368,PTP1,tyrosine protein phosphatase PTP1
180873,pak-1,Serine/threonine-protein kinase pak-1
831469,AT5G16120,alpha/beta-Hydrolases superfamily protein
23424,TDRD7,tudor domain containing 7
1284,COL4A2,collagen type IV alpha 2 chain
768157,cplx4a,complexin 4a
29642,Slc38a2,"solute carrier family 38, member 2"
945657,rpmF,50S ribosomal subunit protein L32
852662,YPT32,Rab family GTPase YPT32
173287,pry-1,Axin-like protein pry-1
8620932,DDB_G0277239,hypothetical protein
2539442,cut1,separase/separin
75671,Tex22,testis expressed gene 22
140739,UBE2F,ubiquitin conjugating enzyme E2 F (putative)
71538,Fbxo9,f-box protein 9
842756,CBL8,calcineurin B-like protein 8
25097,Pld2,phospholipase D2
2303,FOXC2,forkhead box C2
22800,RRAS2,RAS related 2
26904,Sh2d1b1,SH2 domain containing 1B1
824631,GR,glutathione reductase
386590,hsp90b1,"heat shock protein 90, beta (grp94), member 1"
568402,cdk5r1a,"cyclin-dependent kinase 5, regulatory subunit 1a (p35)"
8347,H2BC4,H2B clustered histone 4
297755,Rpl7,ribosomal protein L7
5740414,Snoo,Sno oncogene
56013,Srcin1,SRC kinase signaling inhibitor 1
68497,Arel1,apoptosis resistant E3 ubiquitin protein ligase 1
821881,CFM3A,CRM family member 3A
844083,RFC3,replication factor C subunit 3
29479,Odf2,outer dense fiber of sperm tails 2
571461,sult3st3,"sulfotransferase family 3, cytosolic sulfotransferase 3"
844353,AT1G80130,Tetratricopeptide repeat (TPR)-like superfamily protein
38968,ZC3H3,ZC3H3
41087,Rel,Relish
828679,AT4G25740,RNA binding Plectin/S10 domain-containing protein
6240440,AT4G14301,transmembrane protein
3772376,lncRNA:roX1,long non-coding RNA on the X 1
2541861,mes1,protein Mes1
55144,LRRC8D,leucine rich repeat containing 8 VRAC subunit D
79131,Fabp3,fatty acid binding protein 3
854886,UFO1,SCF ubiquitin ligase complex subunit UFO1
281544,TPM1,tropomyosin 1
10788,IQGAP2,IQ motif containing GTPase activating protein 2
178049,his-48,putative histone H2B 4
945503,rihA,pyrimidine-specific ribonucleoside hydrolase RihA
16185,Il2rb,"interleukin 2 receptor, beta chain"
6048,RNF5,ring finger protein 5
499152,Izumo1,izumo sperm-egg fusion 1
393399,sinup,siaz-interacting nuclear protein
55677,IWS1,"interacts with SUPT6H, CTD assembly factor 1"
286961,Slc22a24,"solute carrier family 22, member 24"
824678,TT5,Chalcone-flavanone isomerase family protein
54308,Slk,STE20-like kinase
817690,PARP1,poly(ADP-ribose) polymerase 2
402843,sfrp1a,secreted frizzled-related protein 1a
820942,GATA17,GATA transcription factor 17
54960,GEMIN8,gem nuclear organelle associated protein 8
553330,npc1,"Niemann-Pick disease, type C1"
812877,PF3D7_0501200,parasite-infected erythrocyte surface protein
201161,CENPV,centromere protein V
855910,YPL191C,ubiquitinyl hydrolase 1
834943,ATSDI1,Tetratricopeptide repeat (TPR)-like superfamily protein
855410,MRPS18,mitochondrial 37S ribosomal protein YmS18
812804,PF3D7_0222000,exported protein family 1
855522,GCR2,Gcr2p
63904,DUSP21,dual specificity phosphatase 21
10949,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
40653,PEK,pancreatic eIF-2alpha kinase
25895,EEF1AKMT3,EEF1A lysine methyltransferase 3
830994,AT5G11240,transducin family protein / WD-40 repeat family protein
12580,Cdkn2c,cyclin dependent kinase inhibitor 2C
41094,pum,pumilio
174653,bli-1,Cuticle collagen bli-1
948495,yjaZ,protein YjaZ
8869,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
853878,FOX2,bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2
72615,Anks3,ankyrin repeat and sterile alpha motif domain containing 3
850345,BUD3,Bud3p
2540258,ste11,transcription factor Ste11
433091,Pnpla1,patatin-like phospholipase domain containing 1
20181,Rxra,retinoid X receptor alpha
825806,CPK22,calcium-dependent kinase-like protein
